ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf)
empire-tahoe-premium-42-clean-face-direct-vent-gas-fireplace-dvcp42bp,Empire,Gas Fireplaces,DVCP42BP30N,DVCP42,Tahoe,pdf/dvcp42bp30n.pdf,dvcp42bp30n
empire-tahoe-premium-42-direct-vent-gas-fireplace-dvp42fp,Empire,Gas Fireplaces,DVP42FP30N,DVP42,Tahoe,pdf/dvp42fp30n.pdf,dvp42fp30n
empire-tahoe-premium-48-direct-vent-gas-fireplace-dvp48fp,Empire,Gas Fireplaces,DVP48FP30N,DVP48,Tahoe,pdf/dvp48fp30n.pdf,dvp48fp30n
empire-vail-deluxe-26-mantel-combination-vent-free-gas-fireplace-vfd26,Empire,Gas Fireplaces,VFD26FM30CN,VFD26,Vail,pdf/vfd26fm30cn.pdf,vfd26fm30cn
empire-vail-deluxe-26-vent-free-fireplace-vfd26fp,Empire,Gas Fireplaces,VFD26FP20LN,VFD26,Vail,pdf/vfd26fp20ln.pdf,vfd26fp20ln
empire-vail-premium-24-vent-free-fireplace-vfp24fp,Empire,Gas Fireplaces,VFP24FP30L10N,VFP24,Vail,pdf/vfp24fp30l10n.pdf,vfp24fp30l10n
empire-vail-premium-32-alope-glaze-burner-vent-free-gas-fireplace-vfpa32,Empire,Gas Fireplaces,VFPA32BP30LN,VFPA32,Vail,pdf/vfpa32bp30ln.pdf,vfpa32bp30ln
empire-vail-premium-32-vent-free-fireplace-vfp32bp,Empire,Gas Fireplaces,VFP32BP20LN,VFP32,Vail,pdf/vfp32bp20ln.pdf,vfp32bp20ln
empire-vail-premium-36-peninsula-and-see-thru-vent-free-fireplace-vfp36,Empire,Gas Fireplaces,VFP36PP32EN,VFP36,Vail,pdf/vfp36pp32en.pdf,vfp36pp32en
empire-vail-premium-36-slope-glaze-burner-vent-free-gas-fireplace-vfpa36,Empire,Gas Fireplaces,VFPA36BP30LN,VFPA36,Vail,pdf/vfpa36bp30ln.pdf,vfpa36bp30ln
empire-vail-premium-36-vent-free-fireplace-vfp36bp,Empire,Gas Fireplaces,VFP36BP20LN,VFP36,Vail,pdf/vfp36bp20ln.pdf,vfp36bp20ln
majestic-18-campfire-fiber-gas-log-set-natural-gas-cfl-18ng-c,Majestic,Gas Log Sets,CFL-18NG-C,CFL-18,Campfire,pdf/cfl-18ng-c.pdf,cfl-18ng-c
majestic-18-campfire-fiber-gas-log-set-propane-gas-cfl-18lp-c,Majestic,Gas Log Sets,CFL-18LP-C,CFL-18,Campfire,pdf/cfl-18lp-c.pdf,cfl-18lp-c
majestic-18-fireside-realwood-refractory-cement-log-set-frw118,Majestic,Media Kits,FRW118,FRW118,Fireside Realwood,pdf/frw118.pdf,frw118
majestic-18-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso18,Majestic,Gas Log Sets,STFSO18,STFSO18,Fireside Supreme Oak,pdf/stfso18.pdf,stfso18
majestic-18-fireside-versawood-refractory-cement-log-set-fvw18,Majestic,Media Kits,FVW18,FVW18,Fireside Versawood,pdf/fvw18.pdf,fvw18
majestic-24-campfire-fiber-gas-log-set-natural-gas-cfl-24ng-c,Majestic,Gas Log Sets,CFL-24NG-C,CFL-24,Campfire,pdf/cfl-24ng-c.pdf,cfl-24ng-c
majestic-24-campfire-fiber-gas-log-set-propane-gas-cfl-24lp-c,Majestic,Gas Log Sets,CFL-24LP-C,CFL-24,Campfire,pdf/cfl-24lp-c.pdf,cfl-24lp-c
majestic-24-campfire-fiber-gas-log-set-with-ipi-ignition-natural-gas-cfl-24ng-ipi,Majestic,Gas Log Sets,CFL-24NG-IPI,CFL-24,Campfire,pdf/cfl-24ng-ipi.pdf,cfl-24ng-ipi
majestic-24-campfire-fiber-gas-log-set-with-ipi-ignition-propane-gas-cfl-24lp-ipi,Majestic,Gas Log Sets,CFL-24LP-IPI,CFL-24,Campfire,pdf/cfl-24lp-ipi.pdf,cfl-24lp-ipi
majestic-24-fireside-realwood-refractory-cement-log-set-frw124,Majestic,Media Kits,FRW124,FRW124,Fireside Realwood,pdf/frw124.pdf,frw124
majestic-24-fireside-supreme-oak-gas-log-set-for-see-through-fireplace-stfso24,Majestic,Gas Log Sets,STFSO24,STSFO24,Fireside Supreme Oak,pdf/stfso24.pdf,stfso24
majestic-24-fireside-supreme-oak-refractory-cement-log-set-fso24,Majestic,Media Kits,FSO24,FSO24,Fireside Supreme Oak,pdf/fso24.pdf,fso24
majestic-24-fireside-versawood-refractory-cement-log-set-fvw24,Majestic,Media Kits,FVW24,FVW24,Fireside Versawood,pdf/fvw24.pdf,fvw24
majestic-30-campfire-fiber-gas-log-set-natural-gas-cfl-30ng-c,Majestic,Gas Log Sets,CFL-30NG-C,CFL-30,Campfire,pdf/cfl-30ng-c.pdf,cfl-30ng-c
majestic-30-campfire-fiber-gas-log-set-propane-gas-cfl-30lp-c,Majestic,Gas Log Sets,CFL-30LP-C,CFL-30,Campfire,pdf/cfl-30lp-c.pdf,cfl-30lp-c
