ID,brand,c__productCategory,manufacturerSKU,c__baseSku,c__series,c__installationManual,installationManualFileName(.pdf),matched_manual
dimplex-prism-34-inch-wall-mounted-electric-fireplace-blf3451,Dimplex,Electric Fireplaces,BLF3451,,Prism,pdf/blf3451.pdf,blf3451,Dimplex/Revillusion_Dimplex.pdf
majestic-meridian-platinum-42-direct-vent-gas-fireplace-meridpla42,Majestic,Gas Fireplaces,MERIDPLA42IN,MERIDPLA42,Meridian Platinum,pdf/meridpla42in.pdf,meridpla42in,"Majestic/MERIDPLA36,42 - MERIDIAN PLATINUM.pdf"
empire-boulevard-60-linear-vent-free-gas-fireplace-vflb60fp,Empire,Gas Fireplaces,VFLB60FP90N,VFLB60,Boulevard,pdf/vflb60fp90n.pdf,vflb60fp90n,Empire/VFLB6072FP90NP-1-Homeowner-1.pdf
majestic-echelon-ii-60-inch-linear-direct-vent-gas-fireplace-echel60in-c,Majestic,Gas Fireplaces,ECHEL60IN-C,ECHEL60IN,Echelon II,pdf/echel60in-c.pdf,echel60in-c,"Majestic/ECHEL36,48,60,72 - IN,STIN - ECHELON II - INSTALLATION.pdf"
dimplex-33-multi-fire-xd-electric-firebox-pf3033hg,Dimplex,Electric Fireplaces,PF3033HG,,Multi-Fire XD,pdf/pf3033hg.pdf,pf3033hg,Dimplex/PF3033_Dimplex.pdf
empire-carol-rose-coastal-premium-42-vent-free-outdoor-gas-fireplace-op42fp,Empire,Outdoor Gas Fireplaces,OP42FP32MN,OP42,Carol Rose,pdf/op42fp32mn.pdf,op42fp32mn,Empire/DVP4248FP3579.pdf
empire-tahoe-premium-42-clean-face-contemporary-direct-vent-gas-fireplace-dvcc42bp,Empire,Gas Fireplaces,DVCC42BP32N,DVCC42,Tahoe,pdf/dvcc42bp32n.pdf,dvcc42bp32n,Empire/DVCC323642BP-4-Installer.pdf
dimplex-ignitexl-100-inch-wall-mounted-electric-fireplace-xlf100,Dimplex,Electric Fireplaces,XLF100,,IgniteXL,pdf/xlf100.pdf,xlf100,Dimplex/XLF100_Dimplex.pdf
majestic-pearl-ii-See-Thru-36-direct-vent-gas-fireplace-pearl36stin,Majestic,Gas Fireplaces,PEARL36STIN,PEARL36STIN,,pdf/pearl36stin.pdf,pearl36stin,"Majestic/PEARL36STIN,PRIN PEARL II - INSTALLATION.pdf"
dimplex-prism-50-inch-wall-mounted-electric-fireplace-blf5051,Dimplex,Electric Fireplaces,BLF5051,,Prism,pdf/blf5051.pdf,blf5051,Dimplex/XLF100_Dimplex.pdf
empire-rushmore-40-clean-face-See-Thru-direct-vent-gas-fireplace-dvct40csp,Empire,Gas Fireplaces,DVCT40CSP95N,DVCT40,,pdf/dvct40csp95n.pdf,dvct40csp95n,Empire/DVCT40CSP95NP-1-Installer 40651-3-0520.pdf
empire-tahoe-deluxe-36-direct-vent-gas-fireplace-dvd36fp,Empire,Gas Fireplaces,DVD36FP30N,DVD36,Tahoe,pdf/dvd36fp30n.pdf,dvd36fp30n,Empire/DVD42FP-Tahoe-Deluxe-Fireplace.pdf
empire-loft-medium-direct-vent-gas-fireplace-dvl33fp,Empire,Gas Fireplaces,DVL33FP32N,DVL33,Loft,pdf/dvl33fp32n.pdf,dvl33fp32n,Empire/DVL33FP-Loft-DV-Fireplace.pdf
empire-boulevard-41-direct-vent-contemporary-linear-gas-fireplace-dvll41,Empire,Gas Fireplaces,DVLL41FP92N,DVLL41,Boulevard,pdf/dvll41fp92n.pdf,dvll41fp92n,Empire/DVLL41FP-Boulevard-Direct-Vent-Linear-Contemporary-Fireplace.pdf
majestic-designer-see-thru-42-radiant-wood-burning-fireplace-dsr42,Majestic,Wood Fireplaces,DSR42,,Designer,pdf/dsr42.pdf,dsr42,Majestic/DSR42 - INSTALLATION.pdf
majestic-18-fireside-versawood-refractory-cement-log-set-fvw18,Majestic,Media Kits,FVW18,FVW18,Fireside Versawood,pdf/fvw18.pdf,fvw18,"Majestic/VDY18,24,30 - DUZY.pdf"
majestic-biltmore-50-radiant-wood-burning-fireplace-sb100,Majestic,Wood Fireplaces,SB100,,Biltmore,pdf/sb100.pdf,sb100,Majestic/SB100 - BILTMORE - INSTALLATION.pdf
empire-carol-rose-coastal-linear-48-vent-free-outdoor-gas-fire-pit-ol48tp,Empire,Outdoor Gas Firepits,OL48TP10N,OL48,Carol Rose,pdf/ol48tp10n.pdf,ol48tp10n,Empire/DVLL48SP90NP-1-1.pdf
